Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2016,1108,Docklands,0,903,0,41,"1,483",110,21,,"12,142",540,126,651,26,157,,80,,920,21,,"17,526"
2016,1109,Docklands,47,177,,5,337,30,60,,54,324,60,,0,47,,142,0,76,120,44,"1,561"
2016,1110,Docklands,0,,0,227,,129,156,,,233,,,,28,0,,0,639,0,0,"2,109"
2016,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,253
2016,1112,Docklands,0,0,0,0,0,0,0,0,,11,0,0,0,,0,0,0,,,0,32
2016,2381,North Melbourne,0,0,0,0,37,,,0,,0,,0,,,0,0,0,0,,0,149
2016,2382,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,
2016,2383,North Melbourne,0,,0,0,0,32,,,0,0,,,0,,0,0,0,,0,,217
2016,2384,North Melbourne,,38,,0,,,,0,0,0,,,,,0,0,0,,0,0,212
2016,2385,North Melbourne,0,0,0,,0,,,0,0,,,0,,0,0,0,0,,0,30,116
2016,2386,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,
2016,2387,North Melbourne,0,0,0,,,,0,0,,0,0,0,0,,0,0,,0,0,68,268
2016,2388,North Melbourne,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,20
2016,2389,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,
2016,2390,North Melbourne,0,30,0,,28,12,,0,0,6,0,,61,,0,0,,,,36,280
2016,2391,North Melbourne,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2392,North Melbourne,0,0,0,0,0,0,0,0,0,11,,0,,5,0,0,0,13,,0,37
2016,2501,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016,2502,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2503,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2507,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2509,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2510,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,58
2016,2511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2512,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2515,Kensington,0,,0,,,0,0,0,,0,0,0,0,,,0,0,0,0,0,26
2016,2516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2520,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,50
2016,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,2522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2523,Kensington,0,0,0,0,0,0,0,0,0,22,,0,0,,0,0,0,0,0,0,29
2016,2524,Kensington,0,,0,0,,0,0,0,,49,,0,,19,0,,0,41,,0,143
2016,2525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,2527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2016,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2530,Kensington,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,15
2016,2531,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,150
2016,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,
2016,2533,Kensington,0,0,0,,,0,,0,0,0,0,0,,,,0,0,0,,0,74
2016,2534,Kensington,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,,29
2016,2535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2538,Kensington,0,0,0,0,,,,0,0,0,0,0,,11,0,0,,,0,0,65
2016,2539,Kensington,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,17
2016,2540,Kensington,0,,0,,79,,0,,,,8,,15,0,0,0,,,35,,183
2016,2541,Kensington,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,17
2016,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2544,Kensington,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,11
2016,2545,Kensington,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,55
2016,2546,Kensington,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,23
2016,2547,Kensington,0,0,0,,600,0,0,0,0,0,,0,,,,0,0,0,0,,991
2016,2548,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,0,City of Melbourne (total),"10,806","14,616","3,841","23,513","78,690","5,775","24,136","9,690","62,903","35,478","41,172","28,566","15,423","12,495","40,315","5,282",463,"20,380","14,903","7,306","455,753"
